City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Lorengau,PG,-2.0226,147.2712,85.75,67,17,8.12,Clouds
72,Mahebourg,MU,-20.4081,57.7,72.25,78,40,16.11,Rain
73,Merke,KZ,42.8728,73.1786,80.2,23,100,5.93,Clouds
74,Batemans Bay,AU,-35.7167,150.1833,62.98,85,100,8.19,Rain
75,Hermanus,ZA,-34.4187,19.2345,55.8,87,62,9.04,Clouds
76,Port Hardy,CA,50.6996,-127.4199,60.98,82,1,10.36,Clear
77,Esperance,AU,-33.8667,121.9,53.44,80,97,20.4,Rain
78,Guerrero Negro,MX,27.9769,-114.0611,72.61,80,7,14.32,Clear
79,Hasaki,JP,35.7333,140.8333,95.29,75,10,10.74,Clear
80,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,72,40,11.5,Clouds
81,East London,ZA,-33.0153,27.9116,67.14,20,0,9.22,Clear
82,Banjar,ID,-8.19,114.9675,82.26,52,45,2.1,Clouds
83,Barrow,US,71.2906,-156.7887,51.82,94,90,18.41,Rain
84,Rybachiy,RU,48.7073,44.7449,78.66,23,0,3.56,Clear
85,Qaanaaq,GL,77.484,-69.3632,39.76,93,98,0.76,Clouds
86,Pinega,RU,64.7001,43.3936,58.91,85,87,2.77,Clouds
87,Aksay,RU,47.26,39.87,81.25,47,34,5.01,Clouds
88,Angoche,MZ,-16.2325,39.9086,74.05,68,73,13.96,Clouds
89,Pandan,PH,14.0453,124.1694,90.3,62,97,12.68,Clouds
90,Yashkul,RU,46.1711,45.3435,81.48,40,0,6.64,Clear
91,San Policarpo,PH,12.1791,125.5072,90.75,59,100,6.29,Clouds
92,Nome,US,64.5011,-165.4064,48.27,87,90,11.5,Clouds
93,Imeni Zhelyabova,RU,58.9544,36.5956,61.93,79,17,7.02,Clouds
94,Port Blair,IN,11.6667,92.75,83.79,79,100,20.11,Clouds
95,Arrecife,ES,28.963,-13.5477,69.78,78,0,21.85,Clear
96,Thompson,CA,55.7435,-97.8558,64.56,63,40,2.3,Smoke
97,Hambantota,LK,6.1241,81.1185,86.34,79,20,12.66,Clouds
98,Parana,AR,-31.732,-60.5238,52.56,66,0,4.94,Clear
99,Baghdad,IQ,33.3406,44.4009,85.91,26,0,5.75,Clear
100,Narsaq,GL,60.9167,-46.05,48.42,77,99,1.19,Clouds
101,Ribeira Grande,PT,38.5167,-28.7,70.99,85,100,8.3,Clouds
102,Bethel,US,41.3712,-73.414,64.71,84,1,3.44,Clear
103,Russell,US,32.3502,-85.1999,74.91,83,1,0.0,Clear
104,Bontang,ID,0.1333,117.5,82.49,77,100,7.23,Clouds
105,Sterling,US,39.0062,-77.4286,74.52,76,90,3.0,Clouds
106,Didi Lilo,GE,41.7361,44.9647,69.58,68,0,4.61,Clear
107,Arraial Do Cabo,BR,-22.9661,-42.0278,66.4,61,100,13.44,Clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,86.61,76,83,0.25,Clouds
109,Ghorawal,IN,24.7667,82.7833,74.73,94,100,14.56,Clouds
110,Hobyo,SO,5.3505,48.5268,77.22,70,60,19.42,Clouds
111,Amapa,BR,1.0,-52.0,70.45,99,84,1.59,Clouds
112,Turayf,SA,31.6725,38.6637,71.85,49,0,4.61,Clear
113,Egvekinot,RU,66.3167,-179.1667,40.91,61,93,2.04,Clouds
114,Joacaba,BR,-27.1781,-51.5047,47.01,81,100,3.02,Clouds
115,Yellowknife,CA,62.456,-114.3525,77.52,47,20,8.05,Clouds
116,Goundi,TD,9.3627,17.366,69.67,97,100,3.31,Clouds
117,Kendari,ID,-3.945,122.4989,81.9,80,84,2.44,Rain
118,Mastic Beach,US,40.7668,-72.8521,70.0,82,1,1.01,Clear
119,Waipawa,NZ,-41.4122,175.5153,54.23,75,98,4.14,Clouds
120,Saskylakh,RU,71.9167,114.0833,82.58,23,6,13.53,Clear
121,Letka,RU,59.6011,49.4232,63.37,72,5,9.89,Clear
122,Camana,PE,-16.6228,-72.7111,60.91,86,84,8.25,Clouds
123,Mayo,US,38.8876,-76.5119,75.15,80,1,1.01,Clear
124,Avarua,CK,-21.2078,-159.775,75.25,78,100,14.97,Clouds
125,Villarrica,PY,-25.75,-56.4333,50.97,94,87,1.48,Clouds
126,Lebu,CL,-37.6167,-73.65,46.09,81,3,16.49,Clear
127,Ulaangom,MN,49.9811,92.0667,69.3,41,99,10.71,Clouds
128,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,10.36,Clouds
129,Salalah,OM,17.0151,54.0924,77.09,100,90,5.75,Mist
130,Sotnikovskoye,RU,45.0039,43.7772,78.33,49,0,5.88,Clear
131,Polewali,ID,-3.4324,119.3435,83.46,77,91,7.25,Clouds
132,Wajima,JP,37.4,136.9,86.68,70,40,4.61,Clouds
133,Buala,SB,-8.145,159.5921,78.13,86,100,3.18,Rain
134,Fortuna,US,40.5982,-124.1573,58.93,91,90,1.01,Clouds
135,Alakurtti,RU,66.9672,30.3491,52.7,86,92,3.22,Clouds
136,Maryborough,AU,-25.5333,152.7,76.96,50,0,8.57,Clear
137,Palmer,US,42.1584,-72.3287,59.94,83,20,0.0,Clouds
138,Clyde River,CA,70.4692,-68.5914,39.43,93,90,5.75,Clouds
139,Ponta Do Sol,PT,32.6667,-17.1,70.43,63,13,8.46,Clouds
140,Tuatapere,NZ,-46.1333,167.6833,48.81,90,95,2.21,Clouds
141,Ayorou,NE,14.7308,0.9174,82.45,67,30,14.25,Clouds
142,Kununurra,AU,-15.7667,128.7333,93.18,24,56,10.36,Clouds
143,Vestmannaeyjar,IS,63.4427,-20.2734,53.8,93,100,1.92,Clouds
144,Tiksi,RU,71.6872,128.8694,45.79,76,51,9.73,Clouds
145,Severnoye,RU,56.3491,78.3619,67.17,65,28,6.55,Clouds
146,Tomatlan,MX,19.9333,-105.25,76.26,87,100,1.99,Clouds
147,Samarai,PG,-10.6167,150.6667,77.83,66,100,13.47,Clouds
148,Caravelas,BR,-17.7125,-39.2481,67.46,75,76,12.28,Clouds
149,Bobcaygeon,CA,44.5462,-78.542,55.15,98,100,5.77,Clouds
150,Ginir,ET,7.1333,40.7,57.24,77,77,13.96,Clouds
151,Polessk,RU,54.862,21.1028,60.85,87,0,12.55,Clear
152,Tual,ID,-5.6667,132.75,81.41,76,82,10.0,Clouds
153,Balgazyn,RU,51.0,95.2,55.29,90,100,3.24,Rain
154,Saint-Philippe,RE,-21.3585,55.7679,69.35,81,36,12.41,Clouds
155,Whakatane,NZ,-37.9585,176.9854,60.78,68,93,1.01,Clouds
156,Escanaba,US,45.7453,-87.0646,64.83,81,90,5.75,Clouds
157,Naze,JP,28.3667,129.4833,86.92,85,91,13.6,Clouds
