City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Manglaur,IN,86.41,Rain,29.8,77.8667,Hotel Godawari
482,Bilma,NE,87.55,Clear,18.6853,12.9164,Expeditions Ténére voyages
486,Nizwa,OM,90.66,Clouds,22.9333,57.5333,Orient Apartments
490,Marawi,PH,87.35,Clouds,7.9986,124.2928,Derogongan Residence
491,Todos Santos,MX,86.11,Clouds,23.45,-110.2167,Hotel California Todos Santos
493,Renqiu,CN,84.2,Clear,38.6989,116.0936,City Garden Renqiu Meishicheng Store
496,Ixtapa,MX,77.45,Clouds,20.7,-105.2,Hotel Plaza Providencia
499,Daru,PG,79.7,Clouds,-9.0763,143.2092,Daru Lodge
500,Ende,ID,84.49,Clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
506,Kamaishi,JP,77.95,Clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
514,Kolokani,ML,75.31,Clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
515,Nishihara,JP,89.26,Clouds,26.1842,127.7558,Minshuku Agaihama
527,Abu Dhabi,AE,87.91,Haze,24.4667,54.3667,Ramee Garden Hotel Apartments
532,Bubaque,GW,78.85,Rain,11.2833,-15.8333,"Casa Dora, Bubaque"
535,Morant Bay,JM,83.82,Clear,17.8815,-76.4093,Whispering Bamboo Cove Resort
540,Terrace,CA,82.31,Clouds,54.5163,-128.6035,Northern Motor Inn
542,Winslow,US,77.97,Clear,35.0242,-110.6974,Best Western Plus Winslow Inn
547,Pochutla,MX,83.25,Clouds,15.7432,-96.4661,Hotel Posada San Jose
549,College,US,79.12,Clouds,64.8569,-147.8028,Pike's Waterfront Lodge
554,Tiarei,PF,78.82,Clouds,-17.5333,-149.3333,Le Rocher de Tahiti
556,Sola,VU,77.67,Clouds,-13.8833,167.55,Leumerus Bungalows
558,Tanda,IN,81.57,Clouds,26.55,82.65,MUMTAZ GANJ TANDA
559,Atbasar,KZ,79.66,Clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
560,Muli,MV,81.91,Clouds,2.9167,73.5667,Medhufushi Island Resort
565,Biak,ID,82.09,Clouds,-0.9131,122.8766,Penginapan Kim
566,Kovvur,IN,86.25,Clouds,17.0167,81.7333,Hotel Rathna Palace
569,Esil,KZ,82.18,Clouds,51.9556,66.4042,Egorkino Hotel
570,Sabaudia,IT,80.69,Clouds,41.3003,13.0282,Oasi di Kufra
573,Rapar,IN,83.88,Clouds,23.5667,70.6333,Dharamshi Bapa’s Home
574,The Valley,AI,82.09,Clear,18.217,-63.0578,CeBlue Villas & Beach Resort
575,Panaba,MX,77.18,Clouds,21.2833,-88.2667,Posada rosario
576,Papillion,US,75.81,Haze,41.1544,-96.0422,lalithya constructions the lake shore
577,Taitung,TW,77.27,Rain,22.7583,121.1444,Taitung Bali Suites Hotel
582,Praia,CV,77.54,Clouds,14.9215,-23.5087,LT Aparthotel
585,Dhidhdhoo,MV,81.75,Clouds,6.8833,73.1,Dhidhoo beach
588,New Iberia,US,79.97,Clear,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
590,Khor,RU,87.37,Clouds,47.8861,134.9464,Gostinitsa Deksi
592,Zhanaozen,KZ,87.48,Clouds,43.3,52.8,K.korabay 28A
594,Meulaboh,ID,80.4,Rain,4.1363,96.1285,Kost Pria
